Project No.,Final Bid Price,Levelized Plant Gate Price,Levelized Adjusted FEP,Levelized Plant Gate Price
1,137,105.08,105.36,99.55
2,105,100.11,107.4,85.7
3,120,107.32,112.24,93.7
4,137.92,113.93,113.83,97.82
5,99,89.97,117.37,86.6
6,113.7,117.54,117.76,94.19
7,95,83.05,120.81,76.21
8,143.5,104.25,122.44,83.41
9,149.64,122.53,122.66,103.74
10,156,119.92,124.32,115.16
11,144,119.53,124.54,118.48
12,102.25,92.92,125.95,89.72
13,109,99.05,126.32,94.89
14,148,130.65,126.95,107.2
15,151.89,127.77,127.3,105.93
16,148,115.82,127.4,90.4
17,123.14,108.77,128.16,105.75
18,138.1,124.88,129.48,108.63
19,130,115.1,130.25,115.1
20,108,98.15,131.49,94.06
21,135.87,125.6,132.34,106.53
22,143.9,121.23,132.9,119.62
23,155.43,124.67,133.8,95.3
